f_date,f_time,addr,zip,boro,lat,long
2022-07-13,1:13:00,241 W 23rd St,10011,Manhattan,40.744836,-73.996991
2022-07-13,9:35:00,5709 PRESTON COURT,11234,Brooklyn,40.639522,-73.922315
2022-07-17,0:13:00,2380 Ryer Ave,10458,Bronx,40.859425,-73.897922
2022-07-19,16:09:00,465 58 STREET,11220,Brooklyn,40.641036,-74.015408
2022-07-20,8:41:00,10 Avenue D,10009,Manhattan,40.720136,-73.97819
2022-07-22,22:51:00,1166 Thieriot Ave,10472,Bronx,40.829937,-73.863872
2022-07-24,7:23:00,3 9th St,11215,Brooklyn,40.6746983,-73.9996642
2022-07-25,6:41:00,509 W 183rd St,10033,Manhattan,40.849753,-73.930739
2022-07-28,14:21:00,37-15 13th St,11101,Queens,40.7586,-73.939373
2022-08-01,8:32:00,1466 Townsend Ave,10452,Bronx,40.841506,-73.915479
2022-08-03,2:37:00,110 EAST  129 STREET,10035,Manhattan,40.806959,-73.936387
2022-08-10,12:41:00,633 New Jersey Ave,11207,Brooklyn,40.663725,-73.8926
2022-08-11,15:59:00,108-21 41 AVENUE,11368,Queens,40.750389,-73.857599
2022-08-12,5:35:00,47-06 28 AVENUE,11103,Queens,40.762604,-73.907973
2022-08-12,20:18:00,505 DeKalb Ave,11205,Brooklyn,40.690863,-73.95678
2022-08-18,23:01:00,72-32 Thursby Ave,11692,Queens,40.594712,-73.802004
2022-08-20,0:36:00,91-17 172 STREET,11432,Queens,40.708124,-73.787884
2022-08-21,11:13:00,1484 Sutter Ave,11208,Brooklyn,40.673795,-73.862773
2022-08-21,13:54:00,1955 1st Ave.,10029,Manhattan,40.786202,-73.942795
2022-08-22,23:07:00,180 Claremont Ave,10027,Manhattan,40.814309,-73.96043
2022-08-23,18:04:00,3830 WHITE PLAINS ROAD,10467,Bronx,40.884501,-73.86209
2022-08-27,21:43:00,O BRIEN AVE and NEWMAN AVE,10473,Bronx,40.811592,-73.854721
2022-08-29,2:41:00,97-02 98 STREET,11416,Queens,40.68665855,-73.84415121
2022-08-29,11:24:00,1307 Loring Ave,11208,Brooklyn,40.668155,-73.86316
