Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2023,2023-04-03,23:17:00,"3569 DE KALB AVENUE,BRONX,NY 10467",Bronx,10467,40.8842536,-73.8790232
2022,2022-04-20,16:34:00,East 125 street and Park ave Manhattan,Manhattan,10035,40.8051833,-73.9392784
2022,2022-05-25,19:56:00,West 161 St and Broadway Manhattan,Manhattan,10032,40.8365242,-73.9455529
2022,2022-06-23,10:54:00,east 135 street and cypress ave Bronx,Bronx,10454,40.803713,-73.915868
2023,2023-04-10,13:55:00,E 100 St and 2  Ave Manhattan,Manhattan,10029,40.784235,-73.947068
2022,2022-04-20,7:06:00,"213 WEST23 STREET,MANHATTAN,NY 10011",Manhattan,10011,40.744482,-73.996139
2022,2022-07-02,11:19:00,"671 EAST52 STREET,BROOKLYN,NY 11203",Brooklyn,11203,40.643908,-73.927447
2023,2023-03-13,14:34:00,"102-44 JAMAICA AVENUE,QUEENS,NY 11418",Queens,11418,40.695187,-73.843442
2023,2023-06-14,16:25:00,"637 WEST49 STREET,MANHATTAN,NY 10019",Manhattan,10019,40.766035,-73.996671
2022,2022-07-24,7:23:00,"3 9th St, Brooklyn, NY 11215, USA",Brooklyn,11215,40.674708,-73.997494
2022,2022-11-29,0:54:00,W 228 St and Broadway Bronx,Bronx,10463,40.875642,-73.908351
2023,2023-02-06,7:37:00,Rogers Ave and Dean St Brooklyn,Brooklyn,11216,40.677029,-73.95272
2022,2022-06-05,4:43:00,"2114 5th Ave, New York, NY 10027, USA",Manhattan,10027,40.809478,-73.940248
2022,2022-01-02,8:41:00,"376 Amsterdam Ave, New York, NY 10024, USA",Manhattan,10024,40.782351,-73.979136
2022,2022-01-04,19:20:00,"93 Featherbed Ln, Bronx, NY 10452, USA",Bronx,10452,40.846408,-73.91792
2022,2022-01-05,22:14:00,"1758 Brooklyn Ave, Brooklyn, NY 11210, USA",Brooklyn,11210,40.630254,-73.941745
2022,2022-01-08,2:07:00,"2230 GRAND CONCOURSE,BRONX,NY 10457",Bronx,10457,40.855897,-73.900779
2022,2022-01-08,17:31:00,"24-09 28 STREET,QUEENS,NY 11102",Queens,11102,40.77317,-73.917254
2022,2022-01-10,1:03:00,"130-12 232 STREET,QUEENS,NY 11413",Queens,11413,40.680337,-73.73524
2022,2022-01-12,0:34:00,"57-28 Van Doren St, Corona, NY 11368, USA",Queens,11368,40.739612,-73.851973
2022,2022-01-13,21:50:00,"156 30 STREET,BROOKLYN,NY 11232",Brooklyn,11232,40.657873,-74.001519
2022,2022-01-14,9:24:00,"696 10 AVENUE,MANHATTAN,NY 10019",Manhattan,10019,40.763773,-73.992234
2022,2022-01-17,6:29:00,"685 Hart St, Brooklyn, NY 11221, USA",Brooklyn,11221,40.699079,-73.925724
2022,2022-01-19,23:41:00,"105-21 53rd Ave, Queens, NY 11368, USA",Queens,11368,40.742447,-73.855413
2022,2022-01-20,13:29:00,"318 W 39th St, New York, NY 10018, USA",Manhattan,10018,40.755735,-73.992384
2022,2022-01-20,16:48:00,"4130 CARPENTER AVENUE,BRONX,NY 10466",Bronx,10466,40.892507,-73.861121
2022,2022-01-20,19:17:00,"2899 Kingsbridge Terrace, Bronx, NY 10463, USA",Bronx,10463,40.874881,-73.902575
2022,2022-01-21,1:36:00,"2776 Parkview Terrace, Bronx, NY 10468, USA",Bronx,10468,40.869744,-73.895063
2022,2022-01-22,6:14:00,"7101 BAY PARKWAY,BROOKLYN,NY 11204",Brooklyn,11204,40.609868,-73.985315
2022,2022-01-24,9:36:00,"440 Bronx Park Ave, Bronx, NY 10460, USA",Bronx,10460,40.840951,-73.874802
2022,2022-01-24,15:35:00,"3990 Paulding Ave, Bronx, NY 10466, USA",Bronx,10466,40.885563,-73.851363
2022,2022-01-26,2:32:00,"2 CAMPUS PLACE,BROOKLYN,NY 11208",Brooklyn,11208,40.684176,-73.872199
2022,2022-01-26,17:57:00,"69 Utica Ave, Brooklyn, NY 11213, USA",Brooklyn,11213,40.676706,-73.930228
